Familia,Morfoespecie ,A,B,C,D
Apiaceae,Eryngyum sp.,13,14,15,6
Asteraceae,1,6,12,16,8
Asteraceae,Senecio sp,14,10,4,8
Asteraceae,3,0,0,5,3
Asteraceae,4,3,0,0,0
Asteraceae,5,1,4,5,2
Caryophyllaceae,1,0,0,5,1
Ericaceae,Arbutus xalapensis,0,0,1,1
Geraniaceae,1,2,0,1,0
Grossulariaceae,1,12,1,7,8
Lamiaceae,1,5,3,5,0
Lamiaceae,2,7,7,4,5
Morfo 6,morfo 6,5,5,0,1
Morfo 10,morfo 10,0,1,1,1
Morfo 18,Morfo 18,1,3,0,3
Morfo 20,Morfo 20,0,0,0,1
Morfo 23,Morfo 23,0,3,0,0
Morfo 24,Morfo 24,0,0,1,0
Pinaceae,Abies religiosa,2,4,3,3
Poaceae,1,35,15,31,20
Poaceae,2,6,1,0,1
Poaceae,3,0,0,1,0
Ranunculaceae,Delphinium pedatisectum,0,1,2,0
Rosaceae,1,9,10,14,14
Solanaceae,1,0,0,0,1
